image_name,part_0_x,part_0_y,part_1_x,part_1_y,part_2_x,part_2_y,part_3_x,part_3_y,part_4_x,part_4_y,part_5_x,part_5_y,part_6_x,part_6_y,part_7_x,part_7_y,part_8_x,part_8_y,part_9_x,part_9_y,part_10_x,part_10_y,part_11_x,part_11_y,part_12_x,part_12_y,part_13_x,part_13_y,part_14_x,part_14_y,part_15_x,part_15_y,part_16_x,part_16_y,part_17_x,part_17_y,part_18_x,part_18_y,part_19_x,part_19_y,part_20_x,part_20_y,part_21_x,part_21_y,part_22_x,part_22_y,part_23_x,part_23_y,part_24_x,part_24_y,part_25_x,part_25_y,part_26_x,part_26_y,part_27_x,part_27_y,part_28_x,part_28_y,part_29_x,part_29_y,part_30_x,part_30_y,part_31_x,part_31_y,part_32_x,part_32_y,part_33_x,part_33_y,part_34_x,part_34_y,part_35_x,part_35_y,part_36_x,part_36_y,part_37_x,part_37_y,part_38_x,part_38_y,part_39_x,part_39_y,part_40_x,part_40_y,part_41_x,part_41_y,part_42_x,part_42_y,part_43_x,part_43_y,part_44_x,part_44_y,part_45_x,part_45_y,part_46_x,part_46_y,part_47_x,part_47_y,part_48_x,part_48_y,part_49_x,part_49_y,part_50_x,part_50_y,part_51_x,part_51_y,part_52_x,part_52_y,part_53_x,part_53_y,part_54_x,part_54_y,part_55_x,part_55_y,part_56_x,part_56_y,part_57_x,part_57_y,part_58_x,part_58_y,part_59_x,part_59_y,part_60_x,part_60_y,part_61_x,part_61_y,part_62_x,part_62_y,part_63_x,part_63_y,part_64_x,part_64_y,part_65_x,part_65_y,part_66_x,part_66_y,part_67_x,part_67_y
0.jpeg,10,43,9,53,8,64,8,74,10,84,15,92,22,97,31,100,42,101,53,101,64,98,73,94,79,88,83,79,85,69,86,60,88,50,15,31,19,25,27,22,35,23,42,26,53,27,62,24,71,24,79,28,83,35,47,35,46,42,45,48,44,55,36,61,40,62,44,63,48,63,53,62,22,37,27,33,32,34,37,38,32,40,26,39,58,40,63,36,69,36,73,40,69,42,63,42,28,78,34,75,40,73,43,74,48,74,53,76,59,80,53,83,47,83,42,83,38,82,33,81,31,78,39,77,43,78,47,78,56,80,47,77,43,77,39,77
1.jpeg,9,32,8,42,9,52,12,62,15,72,21,80,27,88,34,95,42,97,51,96,58,91,64,85,70,77,75,68,78,58,81,48,82,38,17,24,22,21,29,20,36,21,42,24,53,25,60,23,67,22,74,24,78,29,47,33,47,41,47,48,47,56,40,60,43,61,46,62,49,62,53,60,23,32,27,30,33,30,38,34,32,35,27,35,56,35,61,32,66,32,70,35,67,37,61,37,34,75,38,72,43,70,46,71,49,70,52,72,55,76,52,80,48,83,45,83,42,82,38,79,36,75,42,74,46,75,48,74,53,76,48,77,46,77,42,77
10.jpeg,4,34,5,44,6,54,9,64,14,73,20,81,28,88,37,93,47,95,57,93,64,87,71,80,75,71,78,62,79,53,81,43,81,33,13,26,19,23,26,23,34,24,40,27,54,28,60,27,66,26,73,26,77,29,47,34,48,40,48,46,49,52,40,56,43,58,48,59,51,58,55,57,21,34,26,32,30,32,35,35,30,36,25,35,57,36,62,34,67,34,71,36,67,37,62,37,34,70,39,67,44,65,47,66,50,65,54,68,58,72,55,77,50,79,47,79,43,78,38,76,37,70,43,69,47,70,50,70,56,72,50,72,47,72,43,72
100.jpeg,12,41,13,51,15,60,17,70,21,78,27,85,34,90,43,93,52,94,61,92,68,87,75,81,79,72,81,63,82,54,82,44,82,34,17,32,22,26,29,24,37,25,44,28,51,26,58,22,65,20,73,21,77,27,47,34,48,41,48,48,49,55,40,59,45,60,49,61,54,60,58,57,25,37,29,34,34,34,38,37,34,38,29,39,57,35,61,31,67,31,70,33,67,36,62,36,38,74,42,71,47,69,50,70,53,69,58,69,62,71,59,75,55,77,51,78,47,78,43,77,40,74,47,72,51,72,54,72,61,71,54,73,51,73,47,73
1000.jpeg,8,46,9,55,10,64,12,73,16,82,22,88,31,93,40,95,50,96,59,96,68,93,75,88,80,80,83,71,84,62,85,53,85,43,14,31,18,24,26,20,35,19,43,22,55,22,62,19,69,19,77,23,80,30,49,31,49,36,50,41,50,47,43,54,46,55,50,56,54,55,58,54,25,36,29,34,33,33,38,35,33,36,29,37,59,35,64,33,68,33,72,35,68,36,64,36,37,69,41,64,46,63,50,64,54,63,59,65,64,70,59,74,54,75,50,75,46,75,41,73,39,68,46,65,50,65,54,65,62,70,54,72,50,72,46,71
1001.jpeg,10,38,12,48,14,58,16,66,19,75,24,83,31,89,39,94,48,95,57,93,65,88,71,82,76,74,78,65,80,56,81,47,82,37,16,29,21,25,27,22,33,23,40,25,55,25,61,23,67,22,73,24,78,28,47,34,48,40,48,46,48,52,42,58,45,58,48,59,51,58,54,58,23,37,27,34,33,33,38,37,33,39,27,39,57,37,62,33,67,33,71,36,67,39,62,38,33,71,39,67,44,65,48,66,51,65,57,67,62,71,58,78,52,81,48,81,44,81,38,78,36,71,44,68,48,68,51,68,60,71,52,76,48,76,44,76
1002.jpeg,5,30,5,42,6,53,7,63,9,74,13,84,21,92,30,96,40,97,51,97,62,95,71,90,78,82,82,72,85,62,89,51,92,40,13,25,21,22,29,23,37,26,44,30,56,32,64,30,72,29,80,31,86,35,50,37,50,45,49,52,48,59,39,63,42,64,47,66,51,66,55,65,21,36,26,36,31,36,36,38,30,39,25,38,62,42,67,41,73,42,77,43,72,44,67,44,28,77,34,75,40,74,45,77,50,76,55,78,60,81,54,86,48,87,43,87,38,86,33,84,30,78,40,78,45,79,49,79,57,81,49,81,44,81,39,80
1003.jpeg,11,36,13,46,15,56,18,66,21,75,27,83,34,91,41,96,50,97,59,95,66,90,71,82,76,74,79,65,81,55,83,46,84,36,15,30,20,24,28,22,36,24,44,27,52,28,60,25,68,24,76,24,82,30,49,34,49,41,49,47,49,54,40,59,44,60,49,62,53,60,57,59,24,36,28,34,33,34,38,37,33,38,28,38,60,36,64,34,69,34,73,35,69,37,65,37,35,74,39,72,45,70,49,72,53,71,59,72,64,72,60,78,54,82,50,82,45,82,40,79,37,74,45,73,49,73,54,73,62,73,54,77,50,77,45,77
1004.jpeg,8,31,8,41,9,51,10,61,14,70,19,79,25,87,32,93,41,97,50,97,59,94,67,87,73,79,78,70,81,60,84,50,85,38,17,25,22,22,29,20,36,22,43,25,55,26,62,23,69,22,77,25,81,30,48,34,48,43,48,51,48,59,40,62,43,64,47,65,51,64,54,63,25,34,29,32,34,33,38,36,33,36,29,36,58,36,62,34,68,34,72,36,68,38,62,38,34,72,38,71,42,71,45,73,49,72,53,74,57,77,52,80,47,81,44,80,40,79,37,76,36,73,42,75,45,76,48,76,55,77,48,75,44,75,41,73
1005.jpeg,15,36,16,45,17,53,19,61,22,69,26,76,31,82,37,86,45,88,52,87,60,84,68,79,74,73,78,65,80,56,82,48,83,38,20,29,24,24,31,24,38,25,44,27,52,27,58,26,65,25,72,26,77,31,47,33,47,39,47,45,46,51,40,55,43,56,46,57,50,56,53,55,27,34,30,32,35,32,38,35,34,36,30,36,58,36,61,33,66,33,69,35,66,37,61,37,35,68,39,65,42,63,45,64,48,64,52,66,56,69,52,73,48,74,45,74,42,74,38,72,37,68,42,66,45,66,48,66,54,69,48,70,45,70,42,69
